time,a,b,C,t,a_after,b_after
515,168.6,35,,515,168.6,35
516,168.5,33.78,,516,168.5,33.78
517,170.2,33.28,,517,170.2,33.28
518,170,33,,518,170,33
519,170,33,,519,170,33
520,156.5,32.37,,520,156.5,32.37
521,152,32.02,,521,152,32.02
522,149.5,31.74,,522,149.5,31.74
523,146.2,31.6,,523,146.2,31.6
524,144.5,31.32,,524,144.5,31.32
525,143.4,31.2,,525,143.4,31.2
526,140.6,31,,526,140.6,31
527,139.7,30.68,,527,139.7,30.68
528,140,31,,528,140,31
529,140,31,,529,140,31
530,135.9,31.08,,530,135.9,31.08
531,136,31,,531,136,31
532,136.3,31,,532,136.3,31
533,135.8,31.1,,533,135.8,31.1
534,136.5,31,,534,136.5,31
535,136,31,,535,136,31
536,136.4,31.08,,536,136.4,31.08
537,136,31,,537,136,31
538,136,31,,538,136,31
539,136.2,31,,539,136.2,31
540,136.9,31,,540,136.9,31
541,137,31.08,,541,137,31.08
542,136.9,31,,542,136.9,31
543,136.7,31,,543,136.7,31
544,135.8,31,,544,135.8,31
545,136.1,31,,545,136.1,31
546,136,31,,546,136,31
547,136,31,,547,136,31
548,136,31,,548,136,31
549,135.9,31,,549,135.9,31
550,136.2,31.1,,550,136.2,31.1
551,137,31.08,,551,137,31.08
552,136.3,31,,552,136.3,31
553,136.2,31.1,,553,136.2,31.1
554,136,31,,554,136,31
555,136,31,,555,136,31
556,136,31,,556,136,31
557,136,31,,557,136,31
558,136,31.08,,558,136,31.08
559,136.4,31,,559,136.4,31
560,136.8,31,,560,136.8,31
561,136.7,31,,561,136.7,31
562,136.4,31,,562,136.4,31
563,136.5,31,,563,136.5,31
564,136.4,31,,564,136.4,31
565,136,31,,565,136,31
566,136,31,,566,136,31
567,136.1,31.1,,567,136.1,31.1
568,136,31,,568,136,31
569,136,31,,569,136,31
570,136.4,31,,570,136.4,31
571,135.7,31,,571,135.7,31
572,136.3,31,,572,136.3,31
573,136.9,31.08,,573,136.9,31.08
574,137,31,,574,137,31
575,137,31,,575,137,31
576,136.8,31,,576,136.8,31
577,135.4,31,,577,135.4,31
578,136.7,31,,578,136.7,31
579,137.2,31,,579,137.2,31
580,136.8,31,,580,136.8,31
581,135.3,31,,581,135.3,31
582,135.7,31,,582,135.7,31
583,136,31,,583,136,31
584,136,31,,584,136,31
585,136,31,,585,136,31
586,135,31,,586,135,31
587,135,31,,587,135,31
588,135.8,31,,588,135.8,31
589,136,31,,589,136,31
590,136,31,,590,136,31
591,136.2,31,,591,136.2,31
592,135.8,31,,592,135.8,31
593,136,31,,593,136,31
594,136,31,,594,136,31
595,136,31,,595,136,31
596,136.2,31,,596,136.2,31
597,135.7,31,,597,135.7,31
598,134.5,31,,598,134.5,31
599,134.9,31,,599,134.9,31
600,134.8,31,,600,134.8,31
601,134.6,31.08,,601,134.6,31.08
602,135,31,,602,135,31
603,135,31,,603,135,31
604,135,31,,604,135,31
605,135.3,31.1,,605,135.3,31.1
606,135,31,,606,135,31
607,135,31,,607,135,31
608,135,31,,608,135,31
609,135,31,,609,135,31
610,134.9,31.08,,610,134.9,31.08
611,134.8,31,,611,134.8,31
612,135.8,31,,612,135.8,31
613,135.3,31,,613,135.3,31
614,134.6,31,,614,134.6,31
615,135,31,,615,135,31
616,135.5,31,,616,135.5,31
617,136,31,,617,136,31
618,136,31,,618,136,31
619,136,31,,619,136,31
620,134.6,31,,620,134.6,31
621,134.8,31,,621,134.8,31
622,134.9,31,,622,134.9,31
623,135.8,31,,623,135.8,31
624,136,31,,624,136,31
625,136,31,,625,136,31
626,135.4,31,,626,135.4,31
627,135,31,,627,135,31
628,135,31,,628,135,31
629,136,31,,629,136,31
630,136.1,31,,630,136.1,31
631,136.6,31,,631,136.6,31
632,135.9,31,,632,135.9,31
633,136,31.1,,633,136,31.1
634,136,31,,634,136,31
635,136,31,,635,136,31
636,136,31,,636,136,31
637,136,31,,637,136,31
638,136.3,31.08,,638,136.3,31.08
639,135.1,31,,639,135.1,31
640,135.4,31,,640,135.4,31
641,136.3,31,,641,136.3,31
642,135.7,31,,642,135.7,31
643,135.8,31,,643,135.8,31
644,135.7,31,,644,135.7,31
645,136,31,,645,136,31
646,136,31,,646,136,31
647,136.5,31,,647,136.5,31
648,135.7,31,,648,135.7,31
649,136.4,31,,649,136.4,31
650,135.9,31,,650,135.9,31
651,136,31,,651,136,31
652,136.5,31,,652,136.5,31
653,136.8,31.1,,653,136.8,31.1
654,137,31,,654,137,31
655,137,31,,655,137,31
656,137,31,,656,137,31
657,136.5,31.08,,657,136.5,31.08
658,135.7,31,,658,135.7,31
659,136.4,31,,659,136.4,31
660,136.1,31,,660,136.1,31
661,135.2,31.08,,661,135.2,31.08
662,135.9,31,,662,135.9,31
663,136.2,31,,663,136.2,31
664,136,31,,664,136,31
665,136,31,,665,136,31
666,137,31,,666,137,31
667,136.5,31,,667,136.5,31
668,136,31,,668,136,31
669,136.4,31,,669,136.4,31
670,136,31,,670,136,31
671,136.1,31,,671,136.1,31
672,136.5,31,,672,136.5,31
673,136.7,31,,673,136.7,31
674,137,31,,674,137,31
675,137,31,,675,137,31
676,135.2,31,,676,135.2,31
677,135.6,31,,677,135.6,31
678,135.9,31,,678,135.9,31
679,136,31,,679,136,31
680,135.8,31,,680,135.8,31
681,135.3,31,,681,135.3,31
682,135.9,31,,682,135.9,31
683,136,31,,683,136,31
684,136,31,,684,136,31
685,136.2,31,,685,136.2,31
686,136.3,31,,686,136.3,31
687,136.9,31,,687,136.9,31
688,137,31,,688,137,31
689,135.5,31,,689,135.5,31
690,136,31,,690,136,31
691,136.4,31,,691,136.4,31
692,136,31,,692,136,31
693,136,31,,693,136,31
694,136.1,31,,694,136.1,31
695,137,31,,695,137,31
696,137.5,31,,696,137.5,31
697,137.2,31,,697,137.2,31
698,136.9,31,,698,136.9,31
699,136.7,31,,699,136.7,31
700,136.5,31,,700,136.5,31
701,136,31,,701,136,31
702,136,31,,702,136,31
703,136.8,31,,703,136.8,31
704,136.9,31,,704,136.9,31
705,137,31,,705,137,31
706,136.2,31,,706,136.2,31
707,136,31,,707,136,31
708,137,31,,708,137,31
709,136,31,,709,136,31
710,136.9,31,,710,136.9,31
711,137,31,,711,137,31
712,137,31,,712,137,31
713,135.7,31,,713,135.7,31
714,136.8,31,,714,136.8,31
715,136.7,31,,715,136.7,31
716,135.8,31,,716,135.8,31
717,135.2,31,,717,135.2,31
718,135.8,31,,718,135.8,31
719,136,31,,719,136,31
720,136.5,31,,720,136.5,31
721,136.5,31.08,,721,136.5,31.08
